"Sid","Sleep Quality","Time in Bed","Wake up","Sleep Notes","Heart Rate","Worked Out","Stressed","Late Meal","Caffeinated","Minutes in Bed"
"265",84,"7:50","NA","Drank coffee",63,"FALSE","FALSE","FALSE","LOW",470
"266",91,"8:40","NA","Drank tea",61,"FALSE","FALSE","FALSE","LOW",520
"267",68,"7:01","NA","Drank coffee:Drank tea",63,"FALSE","FALSE","FALSE","HIGH",421
"268",77,"7:56","NA","Drank coffee:Drank tea:Worked out",64,"TRUE","FALSE","FALSE","HIGH",476
"269",66,"7:33","NA","Drank coffee:Worked out",60,"TRUE","FALSE","FALSE","LOW",453
"270",38,"5:30","NA","Drank coffee",60,"FALSE","FALSE","FALSE","LOW",330
"271",84,"7:45","NA","Drank coffee:Stressful day",63,"FALSE","TRUE","FALSE","LOW",465
"272",76,"7:18","NA","Drank coffee:Worked out",63,"TRUE","FALSE","FALSE","LOW",438
"273",70,"7:12","NA","Drank coffee:Worked out",60,"TRUE","FALSE","FALSE","LOW",432
"274",90,"8:51","NA","Drank coffee:Stressful day:Worked out",62,"TRUE","TRUE","FALSE","LOW",531
"275",77,"7:39","NA","Drank coffee:Drank tea:Worked out",64,"TRUE","FALSE","FALSE","HIGH",459
"276",69,"8:28","NA","Drank coffee",57,"FALSE","FALSE","FALSE","LOW",508
"277",85,"8:19","NA","Drank coffee",64,"FALSE","FALSE","FALSE","LOW",499
"278",94,"8:06","NA","Drank coffee:Worked out",60,"TRUE","FALSE","FALSE","LOW",486
"279",88,"7:44","NA","Drank tea:Worked out",58,"TRUE","FALSE","FALSE","LOW",464
"280",68,"6:20","NA","Drank tea:Worked out",61,"TRUE","FALSE","FALSE","LOW",380
"281",92,"8:17","NA","Drank coffee",64,"FALSE","FALSE","FALSE","LOW",497
"282",64,"7:25","NA","Drank tea",57,"FALSE","FALSE","FALSE","LOW",445
"283",78,"8:26","NA","Drank tea:Worked out",59,"TRUE","FALSE","FALSE","LOW",506
"284",70,"6:28","NA","Drank tea:Worked out",60,"TRUE","FALSE","FALSE","LOW",388
"285",95,"8:06","NA","Drank coffee:Drank tea:Worked out",60,"TRUE","FALSE","FALSE","HIGH",486
"286",90,"8:16","NA","Drank tea:Worked out",60,"TRUE","FALSE","FALSE","LOW",496
"287",98,"8:11","NA","Drank tea",62,"FALSE","FALSE","FALSE","LOW",491
"288",70,"7:11","NA","Drank coffee:Drank tea",57,"FALSE","FALSE","FALSE","HIGH",431
"289",75,"7:32","NA","Drank tea:Worked out",63,"TRUE","FALSE","FALSE","LOW",452
"290",91,"8:44","NA","Drank tea:Worked out",57,"TRUE","FALSE","FALSE","LOW",524
"291",79,"7:09","NA","Drank tea",64,"FALSE","FALSE","FALSE","LOW",429
"292",92,"7:58","NA","Drank tea:Worked out",57,"TRUE","FALSE","FALSE","LOW",478
"293",69,"6:17","NA","Drank coffee:Worked out",63,"TRUE","FALSE","FALSE","LOW",377
"294",83,"7:07","NA","Drank tea",62,"FALSE","FALSE","FALSE","LOW",427
"295",82,"6:53","NA","Drank tea:Worked out",64,"TRUE","FALSE","FALSE","LOW",413
"296",79,"7:29","NA","Drank tea:Worked out",62,"TRUE","FALSE","FALSE","LOW",449
"297",85,"7:43","NA","Drank coffee:Drank tea:Worked out",63,"TRUE","FALSE","FALSE","HIGH",463
"298",90,"8:39","NA","Drank coffee:Worked out",63,"TRUE","FALSE","FALSE","LOW",519
"299",98,"8:22","NA","Drank coffee:Drank tea",63,"FALSE","FALSE","FALSE","HIGH",502
"300",87,"9:30","NA","Drank coffee",63,"FALSE","FALSE","FALSE","LOW",570
"301",80,"9:13","NA","Drank coffee",64,"FALSE","FALSE","FALSE","LOW",553
